compID,name,type,price,budget,wattage
2,Intel i5K,CPU,179.99,3,84
3,Intel i5,CPU,140.00,4,84
4,Intel i3,CPU,89.99,5,54
6,AMD 8350,CPU,128.99,4,125
9,AMD 6300,CPU,74.99,6,80
10,AMD 750K,CPU,55.99,6,62
11,EVGA Titan Z,GPU,2159.99,1,375
12,MSI Titan Black,GPU,679.99,2,250
13,GTX 980,GPU,479.00,2,165
14,GTX 780Ti,GPU,380.00,3,250
15,GTX 780,GPU,320.99,3,250
16,GTX 770,GPU,275.00,4,230
17,GTX 760,GPU,199.99,4,170
18,GTX 750Ti,GPU,167.99,5,60
19,GT 630,GPU,65.99,6,25
20,GTX 970,GPU,319.99,4,145
21,R9 290X,GPU,1000.00,1,300
22,R9 295,GPU,699.95,2,290
23,R9 290,GPU,299.99,3,290
24,HD 7970,GPU,499.95,2,300
25,R9 280X,GPU,215.00,4,250
27,R9 270X,GPU,149.99,5,180
28,R9 270,GPU,119.99,5,150
26,R9 280,GPU,169.95,5,220
29,R9 265,GPU,109.99,5,150
30,Asus Rampage IV,MOBO,359.99,1,70
31,Gigabyte Z97X,MOBO,349.99,1,68
32,Asus Rampage V,MOBO,349.95,1,75
33,Gigabyte Force,MOBO,299.90,2,62
34,MSI Z97,MOBO,269.00,2,60
35,Asus Sabertooth,MOBO,249.99,2,65
36,EVGA Z87,MOBO,187.00,3,58
37,Asus Maximus,MOBO,172.99,3,55
38,AsRock Z87M,MOBO,154.99,4,55
39,Gigabyte Gaming,MOBO,129.95,4,52
40,Asus TUF,MOBO,119.99,5,45
41,Asus Z87A,MOBO,106.99,5,48
42,MSI Z97S,MOBO,95.99,5,40
43,AsRock Z87 Pro4,MOBO,92.00,5,37
44,Gigabyte H97,MOBO,82.95,6,35
45,Gigabyte D3H,MOBO,79.95,6,30
46,AsRock H97 Pro4,MOBO,64.00,6,26
0,Intel i7k,CPU,259.99,1,99
1,Intel i7,CPU,220.00,2,84
67,60gb SSD,HDD,38.07,5,1
68,120gb SSD,HDD,43.00,5,1
69,250gb SSD,HDD,89.97,2,2
70,500gb SSD,HDD,179.98,2,3
71,1TB SDD,HDD,289.98,1,3
72,Aerocool,CASE,19.99,6,0
73,BitFenix Neos,CASE,29.99,6,0
74,Zalman R1,CASE,33.95,6,0
75,NZXT 210,CASE,39.95,5,0
76,BitFenix Shinob,CASE,47.99,5,0
49,2 x 1gb,RAM,8.50,6,2
47,2 x 2gb,RAM,16.51,5,2
78,Silverstone,CASE,54.95,4,0
79,Corsair 230T,CASE,67.99,4,0
80,Lian,CASE,79.90,3,0
50,2 x 4gb,RAM,44.66,3,2
81,NZXT Phantom,CASE,84.95,3,0
82,Anidees,CASE,101.99,3,0
83,Corsair Obsidia,CASE,129.95,2,0
51,1 x 2gb,RAM,7.95,6,1
84,CM Cosmos,CASE,134.99,2,0
85,In-Win 904,CASE,159.95,2,0
86,Phanteks,CASE,199.99,1,0
52,1 x 8gb,RAM,53.22,3,1
87,In-Win D,CASE,329.99,1,0
88,350W,PSU,31.44,6,350
89,400W,PSU,35.88,6,400
53,2 x 8gb,RAM,108.54,2,2
90,450W,PSU,57.87,5,450
54,1 x 16gb,RAM,164.98,2,1
91,500W,PSU,47.94,5,500
55,2 x 16gb,RAM,251.50,1,2
56,4 x 8gb,RAM,212.26,1,4
92,600W,PSU,57.87,5,600
93,750W,PSU,64.99,4,750
48,1 x 4gb,RAM,28.81,5,1
57,4 x 4gb,RAM,84.32,3,4
94,1000W,PSU,122.98,3,1000
95,1200W,PSU,256.77,2,1200
96,1500W,PSU,358.24,1,1500
5,AMD 9590,CPU,199.00,2,220
58,120gb 2.5",HDD,12.27,6,1
59,250gb 2.5",HDD,18.00,6,1
60,500gb 2.5",HDD,48.99,4,3
61,500gb 3.5",HDD,35.96,5,6
62,750gb 3.5",HDD,52.04,4,7
63,1TB 3.5",HDD,41.98,5,7
64,1.5TB 3.5",HDD,56.39,3,8
65,2TB 3.5",HDD,59.99,3,8
66,4TB 3.5",HDD,109.68,2,9
7,AMD 6700,CPU,101.99,5,65
8,AMD PhenomII,CPU,68.02,6,95
